epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
25,64.2109,2.03349,5.41771,0.41208,1.26076,0.03366,7.08778,0.32636,0.46154,0.33784,0.07617,0.61605,0.15385,0.12795,0.025,2.25453,6.0976,1.10637,3.1237,0.04444,0,0.001406,0.001406,0.001406
26,66.0176,1.70846,4.93011,0.36077,1.13324,0.0221,5.86111,0.32636,0.46154,0.33784,0.07617,0.61605,0.15385,0.12795,0.025,2.25453,6.0976,1.10637,3.1237,0.04444,0,0.00138125,0.00138125,0.00138125
27,67.5781,1.98528,5.26322,0.37216,1.29762,0.02922,6.6174,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.0013565,0.0013565,0.0013565
28,69.0838,1.63147,4.76655,0.35373,1.15859,0.02079,6.1743,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.00133175,0.00133175,0.00133175
29,70.6951,1.71533,5.07149,0.35974,1.03828,0.02268,5.89038,0.20555,0.30769,0.16348,0.04252,0.10062,0.30769,0.09603,0.03028,2.90253,5.34327,0.65878,2.56554,0.05946,0,0.001307,0.001307,0.001307
30,72.2948,1.85792,4.46297,0.32693,1.02126,0.02808,6.10455,0.32659,0.38462,0.23298,0.08286,0.29285,0.46154,0.24967,0.06444,2.81769,5.11787,0.70522,1.80862,0.05729,0,0.00128225,0.00128225,0.00128225
31,74.552,1.72585,4.43108,0.34614,1.02109,0.02573,6.33719,0.32659,0.38462,0.23298,0.08286,0.29285,0.46154,0.24967,0.06444,2.81769,5.11787,0.70522,1.80862,0.05729,0,0.0012575,0.0012575,0.0012575
32,76.429,1.71666,4.84916,0.40272,0.9233,0.02591,6.57514,0.37752,0.56062,0.38756,0.09722,0.69548,0.38462,0.45695,0.08139,2.54998,5.24201,0.59336,1.71493,0.05086,0,0.00123275,0.00123275,0.00123275
33,77.9788,1.50901,4.7036,0.31347,0.91999,0.0197,5.56361,0.37752,0.56062,0.38756,0.09722,0.69548,0.38462,0.45695,0.08139,2.54998,5.24201,0.59336,1.71493,0.05086,0,0.001208,0.001208,0.001208
34,79.5132,1.53296,4.70136,0.35315,1.06305,0.02443,6.38392,0.50409,0.30769,0.43768,0.1256,0.58318,0.30769,0.31039,0.06758,2.61922,5.3003,0.59273,1.4892,0.05149,0,0.00118325,0.00118325,0.00118325
35,81.0544,1.593,4.57876,0.27537,0.7868,0.02307,5.79566,0.50409,0.30769,0.43768,0.1256,0.58318,0.30769,0.31039,0.06758,2.61922,5.3003,0.59273,1.4892,0.05149,0,0.0011585,0.0011585,0.0011585
36,82.6034,1.65319,4.13149,0.28536,1.02271,0.0248,5.75145,0.50409,0.30769,0.43768,0.1256,0.58318,0.30769,0.31039,0.06758,2.61922,5.3003,0.59273,1.4892,0.05149,0,0.00113375,0.00113375,0.00113375
37,84.4207,1.60263,4.42686,0.25945,1.03018,0.02053,5.19534,0.57491,0.46154,0.45569,0.11777,0.4363,0.38462,0.37048,0.08155,2.70938,5.42785,0.55387,1.46697,0.05183,0,0.001109,0.001109,0.001109
38,86.3584,1.48171,3.52034,0.33595,0.89332,0.02162,5.00151,0.57491,0.46154,0.45569,0.11777,0.4363,0.38462,0.37048,0.08155,2.70938,5.42785,0.55387,1.46697,0.05183,0,0.00108425,0.00108425,0.00108425
39,88.4884,1.48205,3.79376,0.30756,0.73712,0.01998,4.78849,0.81076,0.69231,0.69377,0.14466,0.40209,0.30769,0.26388,0.09008,2.80046,4.70522,0.55162,1.14628,0.05429,0,0.0010595,0.0010595,0.0010595
